"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User should not be able to create project without name","Surefire suite","Thu Nov 06 22:06:04 UTC 2025","passed","Thu Nov 06 22:06:04 UTC 2025","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName"
"","51510","setupTeamCityServerTest","Surefire suite","Thu Nov 06 22:03:53 UTC 2025","passed","Thu Nov 06 22:04:44 UTC 2025","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","17639","User should be able to create build configuration","Surefire suite","Thu Nov 06 22:05:20 UTC 2025","failed","Thu Nov 06 22:05:37 UTC 2025","com.example.teamcity.ui.CreateBuildTest","Surefire test","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration"
"","23922","User should be able to find project by name","Surefire suite","Thu Nov 06 22:04:55 UTC 2025","passed","Thu Nov 06 22:05:19 UTC 2025","com.example.teamcity.ui.SearchTest","Surefire test","com.example.teamcity.ui.SearchTest","userFindsProjectByName"
"","14774","User should be able to create project","Surefire suite","Thu Nov 06 22:05:49 UTC 2025","passed","Thu Nov 06 22:06:04 UTC 2025","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProject"
"","11516","User should not be able to create build configuration without name","Surefire suite","Thu Nov 06 22:05:38 UTC 2025","passed","Thu Nov 06 22:05:49 UTC 2025","com.example.teamcity.ui.CreateBuildTest","Surefire test","com.example.teamcity.ui.CreateBuildTest","userCreatesProjectWithoutName"
