"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","469","Project Admin should not be able to create project with foreign project as parent","Surefire suite","Thu Nov 06 22:05:46 UTC 2025","passed","Thu Nov 06 22:05:46 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","projectAdminCreatesSubprojectInForeignProject"
"","88","System Admin should not be able to create project with invalid id","Surefire suite","Thu Nov 06 22:05:50 UTC 2025","passed","Thu Nov 06 22:05:50 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithInvalidIdTest"
"","160","System Admin should be able to find existing project by name","Surefire suite","Thu Nov 06 22:05:57 UTC 2025","passed","Thu Nov 06 22:05:57 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminSearchesProjectByNameTest"
"","138","System Admin should not able to create project without id field","Surefire suite","Thu Nov 06 22:05:56 UTC 2025","passed","Thu Nov 06 22:05:56 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutIdTest"
"","225","System Admin should be able to create project with minimal mandatory correct data","Surefire suite","Thu Nov 06 22:05:50 UTC 2025","passed","Thu Nov 06 22:05:51 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithMinCorrectDataTest"
"","130","User should not be able to create subproject","Surefire suite","Thu Nov 06 22:06:00 UTC 2025","passed","Thu Nov 06 22:06:00 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesSubproject"
"","31","User should not be able to create project without mandatory header","Surefire suite","Thu Nov 06 22:05:59 UTC 2025","failed","Thu Nov 06 22:05:59 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesProjectWithoutHeaderTest"
"","80","System Admin should not be able to create project with empty body","Surefire suite","Thu Nov 06 22:05:57 UTC 2025","passed","Thu Nov 06 22:05:57 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutProperBodyTest"
"","92","System Admin should not be able to create project with invalid name","Surefire suite","Thu Nov 06 22:05:51 UTC 2025","passed","Thu Nov 06 22:05:51 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithNameMalformationsTest"
"","377","System Admin should be able to create project with correct name","Surefire suite","Thu Nov 06 22:05:54 UTC 2025","passed","Thu Nov 06 22:05:54 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithValidNameTest"
