"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","System Admin should be able to create project with correct name","Surefire suite","Thu Nov 06 22:31:32 UTC 2025","passed","Thu Nov 06 22:31:32 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithValidNameTest"
"","422","Project Admin should not be able to create project with foreign project as parent","Surefire suite","Thu Nov 06 22:31:25 UTC 2025","passed","Thu Nov 06 22:31:25 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","projectAdminCreatesSubprojectInForeignProject"
"","114","System Admin should not be able to create project without body","Surefire suite","Thu Nov 06 22:31:34 UTC 2025","passed","Thu Nov 06 22:31:35 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutBodyTest"
"","539","Project admin should be able to create build type for their project","Surefire suite","Thu Nov 06 22:31:38 UTC 2025","passed","Thu Nov 06 22:31:39 UTC 2025","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest"
"","85","System Admin should not be able to create project without name","Surefire suite","Thu Nov 06 22:31:35 UTC 2025","passed","Thu Nov 06 22:31:35 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutNameTest"
"","109","User should not be able to create project with root as parent","Surefire suite","Thu Nov 06 22:31:36 UTC 2025","passed","Thu Nov 06 22:31:36 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesProjectInRoot"
"","202","System Admin should not be able to create project with existent name","Surefire suite","Thu Nov 06 22:31:28 UTC 2025","passed","Thu Nov 06 22:31:28 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithExistentNameTest"
"","113","System Admin should not be able to create project with invalid name","Surefire suite","Thu Nov 06 22:31:30 UTC 2025","passed","Thu Nov 06 22:31:30 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithNameMalformationsTest"
"","248","User should be able to create build type","Surefire suite","Thu Nov 06 22:31:39 UTC 2025","passed","Thu Nov 06 22:31:39 UTC 2025","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","139","System Admin should not be able to create project with wrong value in auth header","Surefire suite","Thu Nov 06 22:31:34 UTC 2025","passed","Thu Nov 06 22:31:34 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithWrongInfoInAuthHeaderTest"
"","172","System Admin should not be able to create project with invalid id","Surefire suite","Thu Nov 06 22:31:29 UTC 2025","passed","Thu Nov 06 22:31:29 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithInvalidIdTest"
"","109","System Admin should not able to create project without id field","Surefire suite","Thu Nov 06 22:31:35 UTC 2025","passed","Thu Nov 06 22:31:35 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutIdTest"
"","158","System Admin should not able to create project without id field","Surefire suite","Thu Nov 06 22:31:35 UTC 2025","passed","Thu Nov 06 22:31:35 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutIdTest"
"","109","User should not be able to create project with root as parent","Surefire suite","Thu Nov 06 22:31:36 UTC 2025","passed","Thu Nov 06 22:31:36 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesProjectInRoot"
"","128","User should not be able to create subproject","Surefire suite","Thu Nov 06 22:31:37 UTC 2025","passed","Thu Nov 06 22:31:37 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesSubproject"
"","93","System Admin should not be able to create project with invalid id","Surefire suite","Thu Nov 06 22:31:28 UTC 2025","passed","Thu Nov 06 22:31:28 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithInvalidIdTest"
"","225","System Admin should be able to create project with same parent and source projects","Surefire suite","Thu Nov 06 22:31:30 UTC 2025","passed","Thu Nov 06 22:31:31 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithSameParentAndSourceTest"
"","92","System Admin should not be able to create project with invalid id","Surefire suite","Thu Nov 06 22:31:29 UTC 2025","passed","Thu Nov 06 22:31:29 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithInvalidIdTest"
