"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23471","User should be able to create build configuration","Surefire suite","Thu Nov 06 22:32:28 UTC 2025","failed","Thu Nov 06 22:32:51 UTC 2025","com.example.teamcity.ui.CreateBuildTest","Surefire test","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration"
"","9439","User should not be able to create build configuration without name","Surefire suite","Thu Nov 06 22:32:52 UTC 2025","passed","Thu Nov 06 22:33:01 UTC 2025","com.example.teamcity.ui.CreateBuildTest","Surefire test","com.example.teamcity.ui.CreateBuildTest","userCreatesProjectWithoutName"
"","0","User should not be able to create project without name","Surefire suite","Thu Nov 06 22:33:18 UTC 2025","passed","Thu Nov 06 22:33:18 UTC 2025","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName"
"","54961","setupTeamCityServerTest","Surefire suite","Thu Nov 06 22:30:52 UTC 2025","passed","Thu Nov 06 22:31:47 UTC 2025","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","16352","User should be able to create project","Surefire suite","Thu Nov 06 22:33:02 UTC 2025","passed","Thu Nov 06 22:33:18 UTC 2025","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProject"
"","28940","User should be able to find project by name","Surefire suite","Thu Nov 06 22:31:58 UTC 2025","failed","Thu Nov 06 22:32:27 UTC 2025","com.example.teamcity.ui.SearchTest","Surefire test","com.example.teamcity.ui.SearchTest","userFindsProjectByName"
